City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
398,Camopi,GF,80.46,broken clouds,3.1655,-52.3158,La pousada
401,Nargana,PA,80.96,overcast clouds,9.4428,-78.5906,Dubbir
402,Marawi,PH,68.4,overcast clouds,7.9986,124.2928,Derogongan Residence
403,Agalatovo,RU,65.34,clear sky,60.2195,30.2739,Vacation Home in Kerro
405,Holland,US,74.55,clear sky,42.7875,-86.1089,Hampton Inn Holland
406,Dubovka,RU,77.95,broken clouds,49.0583,44.829,Mini-Hotel on Severnaya
408,Biograd Na Moru,HR,77.7,clear sky,43.9433,15.4519,Villa Maimare
409,Minot,US,74.8,clear sky,48.2325,-101.2963,Noble Inn
411,Sulangan,PH,82.8,overcast clouds,11.1373,123.7228,Maia's Beach Resort
413,Rwamagana,RW,71.04,overcast clouds,-1.9487,30.4347,Avega East Hostel
415,Phan Thiet,VN,78.22,overcast clouds,10.9333,108.1,Hotel Saigon-PT
418,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
419,Grants Pass,US,74.71,haze,42.439,-123.3284,Shilo Inns Grants Pass
420,Nishihara,JP,76.28,overcast clouds,26.1842,127.7558,Minshuku Agaihama
424,Aljezur,PT,74.46,scattered clouds,37.3191,-8.8033,Amazigh Hostel
425,Aracati,BR,82.65,broken clouds,-4.5617,-37.7697,Hostel Pousada Ibiza
427,Carira,BR,75.65,broken clouds,-10.3608,-37.7011,Praca dos motorista
428,Lobito,AO,73.49,clear sky,-12.3481,13.5456,Casa Rosa Hotel Residence
429,Ta Khmau,KH,82.45,scattered clouds,11.4833,104.95,Takhmao Good Health Hotel
430,Meulaboh,ID,76.57,light rain,4.1363,96.1285,Kost Pria
432,Ashland,US,77.04,overcast clouds,40.8167,-82.2665,SureStay
434,Saint-Denis,FR,77.56,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
435,Ambanja,MG,70.92,light rain,-13.6833,48.45,Hotel Salama and Fast Food
440,Touros,BR,82.31,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
442,Labuhan,ID,79.77,overcast clouds,-6.8844,112.2051,DoubleFAG
443,Isiolo,KE,69.73,overcast clouds,0.3546,37.5822,Gaddisa Hotel
444,Magdalena,PH,81.36,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
446,Balkanabat,TM,81.3,broken clouds,39.5108,54.3671,Nebitchi Hotel
447,Feijo,BR,73.71,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
452,Nguruka,TZ,72.32,broken clouds,-5.1092,31.0419,RUSULI LODGE
453,Sao Joao Da Barra,BR,71.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
457,Dolores Hidalgo,MX,83.79,clear sky,21.1561,-100.9308,Hotel Hidalgo
459,Kushima,JP,65.43,overcast clouds,31.4583,131.2333,Hanaoka
461,Ilebo,CD,76.03,clear sky,-4.3167,20.5833,Hôtel BUMAK
462,Porto Velho,BR,73.45,broken clouds,-8.7619,-63.9039,Ecos Hotel Conforto
464,Itaberai,BR,82.6,overcast clouds,-16.0203,-49.8103,HOTEL ARAGUAIA
465,Chitral,PK,73.06,few clouds,35.8462,71.7858,PTDC Motel Chitral
466,Kalmunai,LK,81.86,overcast clouds,7.4167,81.8167,VS Villa
469,Lhokseumawe,ID,78.64,moderate rain,5.1801,97.1507,OYO 3278 Penginapan Alfajri
470,Luganville,VU,76.59,light rain,-15.5333,167.1667,The Espiritu Hotel
474,Sembakung,ID,72.52,broken clouds,3.8167,117.25,
475,Muroto,JP,69.51,light rain,33.2833,134.15,Oota Ryokan
477,Dicabisagan,PH,79.34,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
478,Jipijapa,EC,74.7,broken clouds,-1.3333,-80.5833,Hotel Los Ceibos Jipijapa
480,Nanakuli,US,81.45,clear sky,21.3906,-158.1547,Camp Pālehua
481,Port Hedland,AU,68.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
483,Hamilton,US,78.26,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
484,Tshela,CD,71.24,clear sky,-4.9833,12.9333,Hotel Mirador
487,Altamira,BR,80.19,overcast clouds,-3.2033,-52.2064,Requinte Hotel
488,Narasannapeta,IN,81.05,broken clouds,18.4167,84.05,AVK events and catering
489,Brooks,CA,73.38,clear sky,50.5834,-111.8851,Heritage Inn Hotel & Convention Centre
490,Kikwit,CD,75.29,clear sky,-5.041,18.8162,HOTEL PLACE YALABA
491,Erie,US,75.99,scattered clouds,42.7667,-78.6664,Roycroft Inn
492,Metro,ID,74.21,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
497,Komsomolskiy,UZ,77.72,few clouds,40.4272,71.7189,Ikathouse
498,Sabak,MY,73.45,overcast clouds,3.7675,100.9875,Homestay Nur Kasih Inap Desa
499,Grand Gaube,MU,73.8,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
500,Merauke,ID,76.3,overcast clouds,-8.4667,140.3333,
507,Mayumba,GA,76.39,clear sky,-3.432,10.6554,LIKWALE LODGE
508,Donauworth,DE,74.95,clear sky,48.7,10.8,ASSOS HOTEL
509,Roma,US,75.81,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
512,Moerai,PF,74.59,overcast clouds,-22.4333,-151.3333,Le Manotel
517,Kota Belud,MY,76.35,clear sky,6.351,116.4305,Tang Dynasty Lodge Kota Belud
521,Camana,PE,66.27,clear sky,-16.6228,-72.7111,Hostal Morales
522,Sangmelima,CM,70.92,scattered clouds,2.9333,11.9833,gamestar hotel
525,Bandundu,CD,80.53,clear sky,-3.3167,17.3667,Coja Color
526,Weiz,AT,71.26,clear sky,47.2167,15.6167,Hotel Restaurant Allmer
529,Nueva Guinea,NI,78.93,broken clouds,11.6876,-84.4562,Posadita La Reyna
530,Akdepe,TM,75.29,broken clouds,42.0551,59.3788,
531,Zhangye,CN,66.99,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
534,Samarai,PG,79.99,overcast clouds,-10.6167,150.6667,Nuli Sapi
